X Z Cp
0.558130 -0.059182 -0.197750
0.560460 -0.065125 -0.197190
0.562580 -0.066070 -0.196650
0.564510 -0.054017 -0.195970
0.566260 -0.056968 -0.194980
0.567890 -0.058920 -0.194030
0.569530 -0.051870 -0.196310
0.571540 -0.063806 -0.196840
0.574830 -0.058697 -0.188100
0.578610 -0.066562 -0.188250
0.582570 -0.062410 -0.188390
0.586610 -0.055245 -0.185130
0.590670 -0.050068 -0.182260
0.594740 -0.051879 -0.179970
0.598810 -0.050679 -0.177910
0.602890 -0.057468 -0.176000
0.606960 -0.062245 -0.174290
0.611030 -0.058011 -0.173000
0.615110 -0.060766 -0.172600
0.619180 -0.059510 -0.171320
0.623250 -0.054243 -0.155600
0.627320 -0.057964 -0.137990
0.631390 -0.046674 -0.125700
0.635460 -0.059373 -0.118950
0.639530 -0.050060 -0.114890
0.643600 -0.060736 -0.111500
0.647660 -0.058402 -0.107950
0.651730 -0.059056 -0.103980
0.655800 -0.049699 -0.099537
0.659860 -0.060330 -0.094653
0.663930 -0.051951 -0.089379
0.667990 -0.058561 -0.083791
0.672060 -0.059161 -0.077919
0.676120 -0.046750 -0.071804
0.680190 -0.042328 -0.065416
0.684250 -0.056896 -0.058780
0.688320 -0.057453 -0.051859
0.692380 -0.044000 -0.044706
0.696450 -0.047537 -0.037330
0.700510 -0.043064 -0.029763
0.704580 -0.047582 -0.022006
0.708650 -0.052090 -0.014081
0.712710 -0.045589 -0.005988
0.716780 -0.054078 0.002271
0.720850 -0.049559 0.010683
0.724920 -0.038031 0.019249
0.728990 -0.047494 0.027956
0.733060 -0.037950 0.036806
0.737140 -0.034397 0.045797
0.741210 -0.042837 0.054920
0.745290 -0.039269 0.064177
0.749370 -0.041695 0.073574
0.753450 -0.037113 0.083088
0.757530 -0.038525 0.092700
0.761620 -0.047932 0.102390
0.765710 -0.033333 0.112150
0.769800 -0.047728 0.121980
0.773890 -0.035119 0.131890
0.777990 -0.029506 0.141890
0.782090 -0.038889 0.151980
0.786190 -0.045269 0.162110
0.790290 -0.045646 0.172260
0.794400 -0.030021 0.182420
0.798510 -0.045395 0.192580
0.802620 -0.032769 0.202760
0.806730 -0.037143 0.212980
0.810840 -0.035518 0.223250
0.814940 -0.034895 0.233380
0.819050 -0.034275 0.243560
0.823140 -0.024659 0.253510
0.827240 -0.026048 0.263390
0.831320 -0.021443 0.273330
0.835410 -0.023845 0.283090
0.839480 -0.033253 0.292820
0.843550 -0.034670 0.302440
0.847610 -0.025097 0.311910
0.851670 -0.035533 0.321240
0.855720 -0.018981 0.330410
0.859760 -0.024440 0.339430
0.863800 -0.019913 0.348270
0.867830 -0.023401 0.356930
0.871850 -0.031903 0.365380
0.875860 -0.033422 0.373620
0.879870 -0.016959 0.381630
0.883870 -0.030515 0.389410
0.887860 -0.032090 0.396960
0.891840 -0.020686 0.404270
0.895810 -0.023303 0.411330
0.899780 -0.022944 0.418110
0.903740 -0.012610 0.424610
0.907690 -0.028300 0.430820
0.911650 -0.015017 0.436730
0.915630 -0.016760 0.442380
0.919700 -0.011528 0.447720
0.923990 -0.019319 0.452970
0.928890 -0.026127 0.458430
0.934520 -0.024972 0.463980
0.940830 -0.016889 0.469100
0.947660 -0.022913 0.473080
0.954820 -0.023078 0.475210
0.962120 -0.030405 0.474740
0.969370 -0.014902 0.470820
0.976390 -0.027563 0.462490
0.982920 -0.019353 0.448630
0.988820 -0.018225 0.427870
0.994170 -0.019150 0.397210
0.999190 -0.018138 0.350800
0.000000 0.015000 0.359570
0.000000 0.013000 0.345640
0.000000 0.002000 0.328670
0.000000 0.020000 0.311760
0.000000 0.008000 0.294750
0.000000 0.001000 0.278160
0.000000 0.015000 0.261880
0.000000 0.020000 0.246050
0.000000 0.011000 0.230640
0.000000 0.012000 0.215720
0.000000 0.003000 0.201270
0.000000 0.013000 0.187330
0.000000 0.011000 0.173900
0.000000 0.005000 0.161000
0.000000 0.013000 0.148630
0.000000 0.020000 0.136830
0.000000 0.010000 0.125580
0.000000 0.004000 0.114920
0.000000 0.013000 0.104850
0.000000 0.014000 0.095374
0.000000 0.009000 0.086496
0.000000 0.001000 0.078219
0.000000 0.020000 0.070538
0.000000 0.000000 0.063443
0.000000 0.015000 0.056921
0.000000 0.012000 0.050952
0.000000 0.020000 0.045514
0.000000 0.008000 0.040583
0.000000 0.010000 0.036136
0.000000 0.016000 0.032148
0.000000 0.008000 0.028601
0.000000 0.003000 0.025481
0.000000 0.011000 0.022780
0.000000 0.012000 0.020508
0.000000 0.017000 0.018685
0.599900 -1.130500 1.193800
0.600510 -1.142100 0.871620
0.601570 -1.147900 0.505730
0.603020 -1.145800 0.336210
0.604860 -1.136700 0.201460
0.607100 -1.124700 0.091122
0.609720 -1.143700 0.014951
0.612630 -1.135800 -0.040913
0.615770 -1.138900 -0.081519
0.619050 -1.123100 -0.113250
0.622420 -1.127300 -0.139100
0.625860 -1.121600 -0.160030
0.629340 -1.123000 -0.177400
0.632850 -1.128400 -0.192760
0.636380 -1.136900 -0.205740
0.639930 -1.127400 -0.216680
0.643500 -1.129000 -0.226200
0.647070 -1.124600 -0.234940
0.650660 -1.116200 -0.242940
0.654250 -1.115800 -0.250060
0.657850 -1.115500 -0.256870
0.661450 -1.125200 -0.263360
0.665060 -1.119900 -0.269110
0.668670 -1.131700 -0.275390
0.672290 -1.131500 -0.281160
0.675910 -1.130200 -0.287060
0.679530 -1.115100 -0.292780
0.683160 -1.132900 -0.298860
0.686780 -1.119700 -0.304590
0.690410 -1.130600 -0.310640
0.694040 -1.116500 -0.316550
0.697660 -1.127400 -0.322780
0.701290 -1.117300 -0.328830
0.704920 -1.116300 -0.335050
0.708550 -1.127300 -0.341040
0.712180 -1.129200 -0.347330
0.715800 -1.130300 -0.353330
0.719430 -1.114300 -0.358630
0.723050 -1.119300 -0.364230
0.726680 -1.131400 -0.369360
0.730300 -1.120500 -0.373740
0.733920 -1.130600 -0.378080
0.737530 -1.132800 -0.381800
0.741150 -1.118900 -0.384610
0.744760 -1.130100 -0.386870
0.748370 -1.134400 -0.387970
0.751970 -1.134600 -0.387840
0.755570 -1.126900 -0.386800
0.759170 -1.123200 -0.384960
0.762770 -1.135500 -0.381550
0.766360 -1.135900 -0.376360
0.769950 -1.124300 -0.369950
0.773530 -1.129700 -0.362090
0.777110 -1.134200 -0.352870
0.780680 -1.124700 -0.342250
0.784250 -1.127200 -0.330790
0.787810 -1.121800 -0.319420
0.791370 -1.131400 -0.309040
0.794920 -1.139000 -0.300360
0.798470 -1.120600 -0.293190
0.802010 -1.141300 -0.286780
0.805550 -1.140000 -0.278360
0.809090 -1.133800 -0.213960
0.812620 -1.127500 -0.141280
0.816150 -1.136300 -0.113610
0.819680 -1.130200 -0.092980
0.823210 -1.139000 -0.070030
0.826730 -1.139900 -0.044291
0.830250 -1.135800 -0.016588
0.833780 -1.129700 0.012530
0.837310 -1.146600 0.042107
0.840840 -1.148500 0.072087
0.844370 -1.142400 0.102600
0.847890 -1.132400 0.132660
0.851420 -1.137300 0.162230
0.854940 -1.151200 0.190800
0.858460 -1.139100 0.218090
0.861970 -1.140900 0.244220
0.865470 -1.150800 0.268560
0.868960 -1.154500 0.290630
0.872430 -1.138300 0.310220
0.875870 -1.143000 0.326960
0.879230 -1.149600 0.340070
0.882430 -1.153100 0.349190
0.885390 -1.155500 0.353850
0.887990 -1.148800 0.354060
0.890430 -1.159000 0.351830
0.000000 0.014000 0.327170
0.000000 0.004000 0.291830
0.000000 0.018000 0.262660
0.000000 0.012000 0.239190
0.000000 0.000000 0.219640
0.000000 0.017000 0.203460
0.000000 0.002000 0.189930
0.000000 0.004000 0.178650
0.000000 0.007000 0.169220
0.000000 0.004000 0.161440
0.000000 0.014000 0.155020
0.000000 0.002000 0.149480
0.000000 0.017000 0.144760
0.000000 0.014000 0.140060
0.000000 0.006000 0.135650
0.000000 0.015000 0.131100
0.000000 0.017000 0.126580
0.000000 0.005000 0.122060
0.000000 0.011000 0.117530
0.000000 0.000000 0.113050
0.000000 0.015000 0.108640
0.000000 0.020000 0.104360
0.000000 0.020000 0.100210
0.000000 0.013000 0.096229
0.000000 0.008000 0.092421
0.000000 0.000000 0.088802
0.000000 0.007000 0.085381
0.000000 0.014000 0.082160
0.000000 0.008000 0.079136
0.000000 0.004000 0.076298
0.000000 0.020000 0.073633
0.000000 0.005000 0.071117
0.000000 0.000000 0.068725
0.000000 0.005000 0.066423
0.000000 0.016000 0.064176
0.000000 0.016000 0.061944
0.000000 0.002000 0.059688
0.000000 0.002000 0.057370
0.000000 0.001000 0.054957
0.000000 0.017000 0.052423
0.000000 0.012000 0.049755
0.000000 0.007000 0.046951
0.000000 0.015000 0.044027
0.000000 0.014000 0.041012
0.000000 0.005000 0.037950
0.000000 0.012000 0.034891
0.000000 0.010000 0.031901
0.000000 0.004000 0.029045
0.599900 -1.138500 1.193800
0.599970 -1.134000 0.792840
0.600840 -1.138600 0.379990
0.602330 -1.138000 0.124380
0.604340 -1.146400 -0.028282
0.606800 -1.150700 -0.116560
0.609590 -1.155900 -0.169370
0.612620 -1.159100 -0.204490
0.615810 -1.152200 -0.228460
0.619110 -1.161200 -0.246250
0.622480 -1.151100 -0.259460
0.625900 -1.147000 -0.270150
0.629350 -1.164900 -0.279340
0.632820 -1.157600 -0.287290
0.636320 -1.155400 -0.294330
0.639840 -1.154100 -0.300780
0.643360 -1.165800 -0.306790
0.646900 -1.153400 -0.312330
0.650450 -1.161100 -0.318000
0.654010 -1.169700 -0.323050
0.657570 -1.169200 -0.328680
0.661140 -1.170800 -0.334270
0.664710 -1.159300 -0.339500
0.668290 -1.156800 -0.344830
