X Z P
0.005172 0.042010 42223.914060
0.005840 0.055252 42102.679690
0.005853 0.056277 42030.222660
0.005859 0.061284 41999.976560
0.006546 0.056501 41894.089840
0.006572 0.057538 41837.859380
0.006572 0.060545 41813.691410
0.007290 0.053749 41685.777340
0.006981 0.053232 41751.941410
0.007316 0.060787 41623.937500
0.007316 0.061793 41607.968750
0.008060 0.048972 41520.058590
0.008085 0.046010 41435.953120
0.008886 0.048215 41293.476560
0.009686 0.051368 41132.906250
0.009674 0.051356 41150.414060
0.009693 0.061375 41131.128910
0.009718 0.048425 41079.933590
0.010563 0.058592 40937.667970
0.010191 0.063075 41024.539060
0.011389 0.052702 40826.039060
0.011427 0.054746 40759.855470
0.011439 0.056758 40723.613280
0.013192 0.055965 40579.253910
0.013230 0.059022 40504.207030
0.013236 0.069028 40486.441410
0.013987 0.059917 40390.128910
0.015059 0.071178 40307.269530
0.015109 0.066229 40237.746090
0.015116 0.066242 40187.062500
0.015919 0.071134 40122.734380
0.016723 0.073039 40018.066410
0.016855 0.075183 39972.972660
0.016988 0.059335 39920.433590
0.017039 0.073385 39894.226560
0.017045 0.060398 39866.976560
0.018968 0.059435 39752.933590
0.019031 0.061498 39693.105470
0.019038 0.061510 39679.070310
0.019952 0.062425 39568.914060
0.019901 0.079374 39622.238280
0.021011 0.066490 39519.117190
0.021074 0.080560 39476.968750
0.021081 0.074566 39447.789060
0.023092 0.081502 39343.742190
0.023155 0.070565 39282.875000
0.023168 0.067571 39243.875000
0.035791 -0.017412 39250.367190
0.035804 -0.009425 39221.019530
0.031150 -0.012562 39510.238280
0.032317 -0.012300 39447.691410
0.032330 -0.018306 39437.695310
0.032998 -0.006722 39401.593750
0.033458 0.000994 39377.839840
0.033483 -0.002025 39356.679690
0.034637 -0.019725 39302.390620
0.034650 -0.006731 39279.570310
0.036977 -0.014106 39178.878910
0.036983 -0.019112 39164.855470
0.038137 -0.010774 39113.863280
0.038162 -0.013787 39082.550780
0.039341 -0.012455 39042.265620
0.039348 -0.004461 39025.511720
0.041340 -0.020565 38953.152340
0.041712 -0.014773 38930.753910
0.041725 -0.022779 38923.339840
0.042891 -0.016410 38884.707030
0.040508 -0.008111 39005.316410
0.040533 -0.022123 38982.031250
0.047721 -0.012907 38683.582030
0.047482 -0.020793 38691.722660
0.047746 -0.014926 38677.171880
0.048957 -0.024531 38657.136720
0.048963 -0.018537 38636.988280
0.050155 -0.028117 38589.878910
0.050180 -0.024130 38580.074220
0.052236 -0.024126 38539.710940
0.055036 -0.020450 38447.437500
0.055061 -0.026463 38446.382810
0.055453 -0.023640 38432.187500
0.055086 -0.015476 38445.957030
0.055086 -0.022476 38445.738280
0.055093 -0.029476 38445.683590
0.055093 -0.022476 38445.613280
0.055099 -0.021476 38445.535160
0.055099 -0.013482 38445.437500
0.055105 -0.024482 38445.312500
0.055111 -0.013488 38445.156250
0.055124 -0.019488 38444.363280
0.055137 -0.029495 38443.804690
0.055156 -0.025507 38443.859380
0.055187 -0.018520 38438.925780
0.055257 -0.020552 38431.429690
0.054128 -0.026022 38459.925780
0.053989 -0.024959 38467.960940
0.055483 -0.014648 38418.320310
0.055484 -0.018649 38417.238280
0.052614 -0.026309 38491.070310
0.042916 -0.009422 38860.683590
0.044115 -0.017053 38839.839840
0.044121 -0.016059 38826.015620
0.045300 -0.011671 38792.921880
0.045325 -0.017683 38764.714840
0.046529 -0.026308 38718.066410
0.046542 -0.025314 38707.203120
0.057754 -0.019699 38357.289060
0.058693 -0.023115 38322.574220
0.060004 -0.013695 38304.652340
0.025211 0.066469 39112.902340
0.025286 0.072532 39046.101560
0.025293 0.076545 39030.722660
0.026409 0.068541 38960.808590
0.026886 0.084962 38929.796880
0.027367 0.080386 38900.777340
0.027455 0.086462 38872.304690
0.027462 0.080468 38851.691410
0.029561 0.069278 38774.171880
0.029650 0.075353 38698.445310
0.029656 0.071360 38669.062500
0.031251 0.083690 38595.421880
0.030495 0.071059 38624.660160
0.031781 0.085131 38561.167970
0.031869 0.081207 38534.691410
0.031882 0.077213 38522.785160
0.032865 0.082014 38453.652340
0.032449 0.085674 38485.984380
0.034026 0.089947 38419.148440
0.034045 0.078966 38410.457030
0.034146 0.079048 38397.000000
0.034480 0.080300 38362.839840
0.036094 0.087574 38289.789060
0.036308 0.092738 38237.195310
0.036409 0.089814 38215.449220
0.036428 0.092833 38195.796880
0.038603 0.094491 38118.175780
0.038717 0.079579 38078.644530
0.038736 0.093592 38074.425780
0.039322 0.097027 38048.292970
0.040924 0.094219 37992.234380
0.041037 0.096307 37947.167970
0.042551 0.080392 37890.605470
0.045628 0.094586 37742.496090
0.045584 0.087554 37773.828120
0.045754 0.094680 37703.191410
0.045773 0.099699 37691.687500
0.046577 0.089250 37689.242190
0.047393 0.098809 37680.640620
0.049008 0.086913 37613.031250
0.050395 0.094865 37491.949220
0.050534 0.097959 37460.855470
0.050559 0.098978 37460.871090
0.052236 0.092075 37433.902340
0.055225 0.093043 37314.863280
0.055269 0.107068 37269.238280
0.055269 0.100074 37269.414060
0.055282 0.089081 37269.609380
0.055294 0.101087 37268.816410
0.055307 0.092100 37266.968750
0.055339 0.104112 37268.109380
0.055345 0.106119 37267.191410
0.055393 0.095149 37261.792970
0.055560 0.090258 37269.054690
0.055705 0.104352 37259.171880
0.056230 0.094688 37259.718750
0.057079 0.094228 37261.304690
0.057883 0.093737 37244.812500
0.058693 0.091250 37220.828120
0.060004 0.102082 37165.171880
0.077824 -0.031965 37899.484380
0.077843 -0.024972 37886.574220
0.077925 -0.029997 37875.375000
0.081292 -0.033252 37847.281250
0.081613 -0.040365 37815.281250
0.081632 -0.037371 37812.921880
0.081708 -0.030409 37812.410160
0.084520 -0.034418 37790.964840
0.086134 -0.024998 37753.070310
0.087749 -0.042566 37759.878910
0.085409 -0.033740 37760.554690
0.085428 -0.031746 37756.988280
0.085504 -0.040771 37746.921880
0.089218 -0.033089 37745.625000
0.089237 -0.026095 37742.152340
0.089300 -0.040108 37706.410160
0.090977 -0.041688 37687.773440
0.093039 -0.044394 37688.339840
0.093096 -0.032413 37665.898440
0.093108 -0.045420 37663.585940
0.094205 -0.039785 37645.343750
0.096885 -0.026674 37630.492190
0.096892 -0.030681 37630.691410
0.095820 -0.041315 37629.726560
0.095353 -0.032164 37631.500000
0.096942 -0.044693 37632.218750
0.097434 -0.033857 37610.324220
0.100662 -0.030904 37580.515620
0.100725 -0.029923 37569.960940
0.100738 -0.040929 37563.039060
0.100763 -0.037942 37563.996090
0.103891 -0.034925 37548.789060
0.107119 -0.035934 37525.503910
0.105505 -0.040436 37523.156250
0.105059 -0.042298 37517.582030
0.104572 -0.044146 37521.691410
0.104584 -0.048152 37520.050780
0.104610 -0.040159 37513.296880
0.116167 -0.049658 37410.457030
0.116174 -0.044658 37399.429690
0.116193 -0.033665 37399.359380
0.116199 -0.042665 37399.332030
0.116199 -0.033671 37399.324220
0.116199 -0.051671 37399.316410
0.116205 -0.032671 37399.304690
0.116205 -0.050671 37399.273440
0.116212 -0.046671 37399.257810
0.116218 -0.036671 37399.234380
0.116224 -0.040677 37399.203120
0.116237 -0.043677 37399.152340
0.116250 -0.046684 37399.093750
0.116275 -0.050690 37399.175780
0.116326 -0.046703 37399.906250
0.116478 -0.049747 37401.835940
0.116804 -0.046847 37404.937500
0.119995 -0.051768 37410.933590
0.108431 -0.033344 37503.449220
0.108443 -0.030350 37498.250000
0.110348 -0.046918 37483.683590
0.112296 -0.037511 37461.894530
0.112302 -0.051517 37454.511720
0.113576 -0.039889 37445.917970
0.061272 -0.019250 38247.109380
0.062627 -0.033836 38224.253910
